Heat and Power Generation," 138,249 "," 3,095,668 "," 5,304,732 "," 8,538,650 "," 1,318,812 "," 9,857,462 ",,,,Heat and Power Generation," 162,913 "," 460,632 "," 259,377 "," 324,245 "," 430,337 "," 200,727 "," 6,514 "," 204,774 "," 435,988 "," 354,284 "," 330,703 "," 241,477 "," 206,682 "," 185,634 "," 265,307 "," 301,289 "," 286,418 "," 308,221 "," 250,631 "," 189,788 "," 183,742 "," 187,937 "," 294,187 "," 282,338 "," 228,231 "," 232,495 "," 306,665 "," 250,383 "," 221,238 "," 219,432 "," 148,877 "," 254,613 "," 321,291 "," 1,320,091 "," 9,857,462 "
Heat and Power Generation," 797,231 "," 1,906,570 "," 1,751,761 "," 4,455,562 "," 533,207 "," 4,988,769 ",,,,Heat and Power Generation," 67,850 "," 123,616 "," 95,509 "," 143,320 "," 95,944 "," 328,575 "," 166,195 "," 543,932 "," 102,213 "," 165,221 "," 133,372 "," 122,168 "," 81,186 "," 122,025 "," 74,846 "," 53,001 "," 65,932 "," 271,614 "," 127,495 "," 141,166 "," 172,764 "," 56,968 "," 148,964 "," 79,217 "," 67,345 "," 138,043 "," 59,915 "," 63,769 "," 206,361 "," 60,740 "," 191,003 "," 67,955 "," 116,281 "," 534,266 "," 4,988,769 "
Gas Combustion," 759,834 "," 1,713,651 "," 1,356,157 "," 3,829,642 "," 397,626 "," 4,227,267 ",,,,Gas Combustion," 40,768 "," 107,695 "," 67,341 "," 119,405 "," 74,407 "," 309,432 "," 152,019 "," 487,452 "," 92,711 "," 136,959 "," 113,796 "," 102,257 "," 73,994 "," 111,770 "," 67,488 "," 46,804 "," 48,704 "," 135,019 "," 113,652 "," 133,722 "," 170,231 "," 48,188 "," 144,597 "," 76,251 "," 58,849 "," 102,460 "," 50,658 "," 56,412 "," 197,246 "," 51,923 "," 168,235 "," 57,985 "," 110,359 "," 398,478 "," 4,227,267 "
Oil/Coal Combustion," 37,398 "," 192,919 "," 395,604 "," 625,921 "," 135,581 "," 761,501 ",,,,Oil/Coal Combustion," 27,082 "," 15,922 "," 28,168 "," 23,915 "," 21,537 "," 19,143 "," 14,176 "," 56,480 "," 9,502 "," 28,261 "," 19,576 "," 19,911 "," 7,191 "," 10,254 "," 7,359 "," 6,198 "," 17,228 "," 136,595 "," 13,843 "," 7,444 "," 2,533 "," 8,779 "," 4,367 "," 2,966 "," 8,496 "," 35,583 "," 9,257 "," 7,357 "," 9,115 "," 8,817 "," 22,768 "," 9,969 "," 5,922 "," 135,788 "," 761,501 "
Commercial Cooking,,,,,,,,,,Commercial Cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Cooking,,,,,,,,,,Commercial Cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction," 55,568 "," 196,744 "," 166,808 "," 419,119 ", 199 ," 419,319 ",,,,Construction," 2,934 "," 15,654 "," 6,825 "," 13,377 "," 8,590 "," 34,339 "," 5,647 "," 44,580 "," 21,940 "," 20,787 "," 3,774 "," 7,811 "," 14,776 "," 11,782 "," 7,669 "," 8,542 "," 5,856 "," 16,359 "," 10,930 "," 9,658 "," 9,545 "," 6,489 "," 16,200 "," 7,702 "," 9,250 "," 10,773 "," 6,291 "," 6,921 "," 16,221 "," 5,464 "," 21,284 "," 7,090 "," 24,062 ", 199 ," 419,319 "
Construction / Demolition Dust,,,,,,,,,,Construction / Demolition Dust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRMM Exhaust," 55,568 "," 196,744 "," 166,808 "," 419,119 ", 199 ," 419,319 ",,,,NRMM Exhaust," 2,934 "," 15,654 "," 6,825 "," 13,377 "," 8,590 "," 34,339 "," 5,647 "," 44,580 "," 21,940 "," 20,787 "," 3,774 "," 7,811 "," 14,776 "," 11,782 "," 7,669 "," 8,542 "," 5,856 "," 16,359 "," 10,930 "," 9,658 "," 9,545 "," 6,489 "," 16,200 "," 7,702 "," 9,250 "," 10,773 "," 6,291 "," 6,921 "," 16,221 "," 5,464 "," 21,284 "," 7,090 "," 24,062 ", 199 ," 419,319 "
Gas Leakage, 47 , 186 , 343 , 576 , 102 , 678 ,,,,Gas Leakage, 11 , 26 , 13 , 23 , 25 , 17 , 9 , 37 , 21 , 26 , 12 , 13 , 11 , 15 , 12 , 21 , 26 , 42 , 22 , 15 , 13 , 9 , 13 , 12 , 11 , 13 , 17 , 23 , 14 , 11 , 13 , 13 , 16 , 103 , 678 
Natural Gas Leakage, 47 , 186 , 343 , 576 , 102 , 678 ,,,,Natural Gas Leakage, 11 , 26 , 13 , 23 , 25 , 17 , 9 , 37 , 21 , 26 , 12 , 13 , 11 , 15 , 12 , 21 , 26 , 42 , 22 , 15 , 13 , 9 , 13 , 12 , 11 , 13 , 17 , 23 , 14 , 11 , 13 , 13 , 16 , 103 , 678 
